Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Latitude,Longitude
1/13/2011,8:25:00 AM,E Hastings St/Nanaimo St,Intersection,1,,,0,10-19,M,49.28114605,-123.0565507
1/16/2011,2:50:00 AM,2500 Blk MacDonald St,Close to intersection,1,,,0,30-39,F,49.26320321,-123.1682048
2/4/2011,3:19:00 PM,Main St/Keefer St,Intersection,1,,,0,70-79,M,49.27948142,-123.0997293
3/14/2011,6:50:00 AM,3100 Blk Grandview Hwy,Mid-Block,1,,,0,70-79,F,49.25814068,-123.0377692
3/31/2011,5:25:00 PM,SW Marine Dr/Kullahun Dr,Intersection,,,1,0,20-29,M,,
4/6/2011,2:27:00 PM,E 22nd Ave/Boyd Dvrs,Intersection,1,,,0,70-79,F,,
5/1/2011,6:59:00 PM,E 41st Ave/Killarney St,Intersection,1,,,0,90-99,M,49.23297119,-123.0459205
6/20/2011,5:52:00 PM,Granville St/Nanton Ave,Close to intersection,,,,1,30-39,M,49.24741348,-123.1391502
6/20/2011,5:52:00 PM,Granville St/Nanton Ave,Close to intersection,,,,1,60-69,F,49.24741348,-123.1391502
6/20/2011,5:52:00 PM,Granville St/Nanton Ave,Close to intersection,,,,1,30-39,F,49.24741348,-123.1391502
6/25/2011,4:12:00 AM,E Hastings St/ Jackson St,Intersection,1,,,0,30-39,F,49.28122081,-123.0934318
6/26/2011,3:07:00 AM,Main St/ EHastings St,Mid-Block,1,,,0,50-59,M,49.28133561,-123.0996488
7/16/2011,11:56:00 PM,200 block E Cordova St,Mid-Block ,1,,,0,60-69,M,49.28226634,-123.0986067
2/10/2012,3:00:00 AM,3000 block E Hastings St,Mid-block,1,,,0,30-39,F,,
3/6/2012,2:57:00 AM,Robson and Howe,Intersection,1,,,0,70-79,F,49.2819962,-123.1208034
3/16/2012,6:59:00 PM,East 41st Avenue and Ross Street,Intersection,1,,,0,70-79,F,49.23278815,-123.0825707
3/27/2012,7:27:00 AM,E 12th Ave / Windsor St,Intersection,,1,,0,30-39,F,49.25966908,-123.0833602
4/15/2012,10:30:00 AM,W 4th Ave / Larch St,Mid-Block,1,,,0,80-89,M,49.26828096,-123.1622445
4/24/2012,1:39:00 AM,Cassiar St / Dundas St,Intersection,,,,1,60-69,M,,
